DATE,Base: Currency in Circulation ($ Mil),Balance Sheet: Total Assets ($ Mil),Effective Federal Funds Rate,Adj Close
2020-09-30,2026.2462,7048374.2,0.09,3363.0
2020-10-31,2040.20125,7137411.5,0.08999999999999998,0.0
2020-11-30,2055.63325,7198114.0,0.08633333333333336,3621.6298828125
2020-12-31,2070.5263999999997,7319010.8,0.08999999999999998,3756.070068359375
2021-01-31,2093.5344999999998,7372161.25,0.08516129032258064,0.0
2021-02-28,2100.2162500000004,7500084.0,0.07571428571428573,0.0
2021-03-31,2115.2816,7647908.2,0.06967741935483875,3972.889892578125
2021-04-30,2154.81925,7775974.0,0.06900000000000003,4181.169921875
2021-05-31,2167.934,7866893.25,0.058064516129032295,0.0
2021-06-30,2178.8432000000003,8026555.2,0.07800000000000006,4297.5
2021-07-31,2186.12825,8190356.75,0.09806451612903229,0.0
2021-08-31,2187.6327499999998,8291893.25,0.09225806451612904,4522.68017578125
2021-09-30,2194.903,8418612.4,0.07933333333333335,4307.5400390625
2021-10-31,2202.5065,8516524.5,0.07903225806451614,0.0
2021-11-30,2211.68875,8648682.25,0.07966666666666669,4567.0
2021-12-31,2220.819,8650402.0,0.08,0.0
